"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"416","O00330","ODPX_HUMAN","PDHX",NA,47512600,43013300,30199500,22572600,62889900,49556200,46506400,29186000,51261000,39228500,8979500,51646200,47703600,6669390,21250600,11829300,42902100,40211700,36222000,47255100,61951200,72579100,59011900,56640700,60139800,10930400,66063500
"417","O00391","QSOX1_HUMAN","QSOX1",NA,6669680,2280180,2552080,15544700,5575700,16553800,5971930,2940750,4016600,3600020,2460150,2927030,17161800,14487100,15233200,11853600,17484800,16714500,15642400,7358460,5845900,5261800,6021210,5244530,6301480,15841000,13954400
"418","O00399","DCTN6_HUMAN","DCTN6",NA,13536200,14456700,11711000,16561600,21299100,17173400,12996100,13560400,17696900,17025400,14021400,14818500,14265100,15330500,16910400,14974000,13357500,14683500,17237000,15821300,19764000,19093600,14774100,17396200,16697800,19176400,17359700
"419","O00400","ACATN_HUMAN","SLC33A1",NA,5213300,4186650,3472760,4311670,8380290,6837180,4624300,4633000,3734340,4189410,4347630,4743930,4683130,5024680,3801110,4137550,4183330,4118320,3888450,6286780,7369220,8222750,6520480,8515790,5132990,10016500,9686320
"420","O00401","WASL_HUMAN","WASL",NA,NA,NA,NA,NA,733734,NA,NA,NA,1251730,1318100,NA,NA,NA,NA,NA,NA,NA,NA,964356,NA,NA,576180,NA,NA,NA,821147,828923
"421","O00409","FOXN3_HUMAN","FOXN3",NA,595584,684326,581950,524197,NA,646731,626275,509248,357334,691114,508475,455558,612751,607024,717709,635959,674301,588587,541476,471518,667034,509906,346037,418425,281191,605780,597572
"422","O00410","IPO5_HUMAN","IPO5",NA,205800000,204924000,228712000,153612000,136697000,128592000,200197000,224912000,162261000,207368000,200467000,202300000,127912000,126188000,127202000,126136000,132184000,143821000,160536000,124710000,106666000,113517000,135609000,119480000,124292000,130437000,129197000
"423","O00411","RPOM_HUMAN","POLRMT",NA,5893000,8111330,7399830,8461230,5055890,4652750,7152620,9411500,4902460,7734110,7327190,6954340,7730090,7820760,5318930,5447770,5825700,9046650,9313350,4466250,5246500,5377050,4540360,4120840,5098520,5467090,4913150
"424","O00418","EF2K_HUMAN","EEF2K",NA,8846600,8468350,9453560,11832800,8717730,8581300,8888490,9709230,7980520,9093400,7645520,8687660,13881500,13562600,12928000,12646100,13910900,11405900,11857400,8946910,9272590,9087800,7786220,8700850,9514790,8848880,8433460
"425","O00422","SAP18_HUMAN","SAP18",NA,91489400,104703000,91318900,104363000,73964900,175629000,108870000,104573000,135887000,156470000,95138800,125008000,140849000,99714000,121611000,105953000,164199000,144634000,152208000,103108000,112801000,95208100,99500100,101560000,78442600,107446000,99641600
"426","O00425","IF2B3_HUMAN","IGF2BP3",NA,34984300,33734300,33801900,NA,NA,NA,35776300,39271900,25720000,44001200,30658100,33237600,NA,NA,NA,30095000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","O00429","DNM1L_HUMAN","DNM1L",NA,90062900,89636400,78155600,74572500,120556000,110031000,87115600,87636700,110994000,92474200,89973600,89775200,74376500,66827300,65708100,59370000,69892700,73928400,74101900,114684000,105138000,110127000,117214000,105131000,121732000,108853000,108912000
"428","O00442","RTCA_HUMAN","RTCA",NA,24154300,25079200,24873300,16029000,21408900,21841800,28168700,26040900,22921300,23333200,27751000,26065000,18140500,19480400,17975800,17547400,16163000,21843700,17562800,21571300,15699500,17739800,23732400,28568900,29459300,19501400,18754800
"429","O00443","P3C2A_HUMAN","PIK3C2A",NA,9875140,9510520,10758100,11330000,11697700,14749900,12550900,14304300,11650300,11767300,11097000,11085400,12390700,11360200,11130900,11131600,10005600,10778400,11348500,14986900,13567500,13561600,15343100,16297400,16246700,14839700,13509600
"430","O00444","PLK4_HUMAN","PLK4",NA,374082,565559,537560,NA,464479,516422,NA,568177,622488,NA,258913,508150,529045,490053,NA,252026,623018,554766,NA,568185,NA,366045,678209,NA,462585,530778,497482
"431","O00453","LST1_HUMAN","LST1",NA,NA,NA,NA,20649600,NA,6672770,NA,NA,NA,5604800,NA,NA,33798200,30672600,29433000,15621400,19517900,20000400,21371800,5562550,NA,NA,NA,NA,NA,NA,NA
"432","O00458","IFRD1_HUMAN","IFRD1",NA,NA,NA,1415470,517262,782095,NA,571621,1261130,NA,812818,1161230,808437,839480,NA,NA,NA,828807,NA,NA,NA,NA,546180,876756,1045270,756185,680782,NA
"433","O00459","P85B_HUMAN","PIK3R2",NA,14796600,11274000,11949300,12524700,13304100,11268500,14354500,11866900,13540500,13280300,10921400,11725700,18211400,15638900,15231100,13967800,15105700,13679100,14010000,10723500,11599300,12145800,8639460,12400800,12307500,11259000,11505100
"434","O00461","GOLI4_HUMAN","GOLIM4",NA,14685400,13748700,15295900,16487600,24772800,25313600,13762100,14940800,13909300,13950600,14516000,13249800,16205000,14866700,19433000,18729600,17597700,14664500,14053700,25305900,21930600,20729200,25319200,29122300,23988100,22846700,21769400
"435","O00462","MANBA_HUMAN","MANBA",NA,3998480,2452060,2654230,6789080,7462700,11624200,3402610,2590120,2309100,4043920,2472200,2465460,7405400,6804910,6518200,7020060,6334860,6513030,6218800,6774940,5531820,7284430,6225000,8686110,8405710,9823840,10107100
"436","O00468","AGRIN_HUMAN","AGRN",NA,2055790,NA,NA,6241120,1015610,NA,1849390,864380,1112300,NA,1171220,1782470,5727300,4580400,5286350,6260430,4464400,6236400,5991680,4340880,1152700,1423770,NA,NA,NA,NA,NA
"437","O00470","MEIS1_HUMAN","MEIS1",NA,10210900,9698560,13512700,12841100,17180800,15397800,10752200,12211100,10230200,13006900,10472100,10986600,15290100,14343300,13643800,16178400,14130400,13831900,14426200,16290200,18394800,16526900,14422900,16665600,14315700,16263700,14687400
"438","O00471","EXOC5_HUMAN","EXOC5",NA,6505050,6599980,7500710,7758330,5858030,6923980,7631570,7497440,6690260,6086500,6933190,6928560,7607610,7543970,6894930,8031710,7237560,7212220,7021490,6270150,5932090,6505090,6488790,6763270,6457430,6280760,7217860
"439","O00479","HMGN4_HUMAN","HMGN4",NA,2994030,2354030,1670320,888976,2715360,21227200,2993560,3980600,4497940,4709890,3504490,3713480,3125020,1372520,2244090,2101580,7748260,NA,NA,3715540,3415650,3898160,2846490,6193640,3332170,2922530,3259320
"440","O00483","NDUA4_HUMAN","NDUFA4",NA,192118000,251270000,170416000,232422000,193965000,208171000,226661000,198057000,243297000,191754000,263223000,245967000,168078000,182651000,193026000,195254000,179200000,216456000,202155000,185194000,161481000,175240000,148627000,242482000,212472000,183750000,182102000
"441","O00487","PSDE_HUMAN","PSMD14",NA,61284500,58661300,69353100,85810100,45843200,74909900,60905700,51073400,46740600,37187300,61313400,53321300,50183500,74163400,75715700,64092000,62740800,72803800,68038700,52742400,38317700,51511600,71007400,65062700,69322800,42498900,43896200
"442","O00488","ZN593_HUMAN","ZNF593",NA,22949900,31236300,15138600,14174800,18813300,11665600,19926100,24175000,24843500,26783600,32542400,33515400,9294310,9078180,10956100,9993000,8724950,10434700,12424400,15793400,20664000,19718100,12712200,15115300,11032000,16452400,17453100
"443","O00505","IMA4_HUMAN","KPNA3",NA,73713900,84156300,85705500,28171000,43032300,38284600,67717800,66607000,67023500,93447200,65980500,76224400,33165400,32283700,24237200,24582000,35484100,33179300,33563000,40867500,42081700,39784700,48985000,37530900,40816100,43427600,41582000
"444","O00506","STK25_HUMAN","STK25",NA,3684460,3988530,3218550,3008290,8123720,7761740,3712560,4176090,4558460,4864460,3659120,3700100,4604220,4330030,3785010,4475230,5603630,4086110,3834860,7061870,9702200,7998780,6422190,6411680,6298640,7312290,7450200
"445","O00512","BCL9_HUMAN","BCL9",NA,NA,NA,NA,260653,NA,NA,NA,NA,121116,NA,NA,NA,361557,255256,354259,554008,356122,336894,270722,NA,NA,NA,NA,NA,NA,NA,NA
"446","O00519","FAAH1_HUMAN","FAAH",NA,7712180,10334600,6082600,NA,2712830,2644950,7990490,7021240,7230190,6411800,10208300,10298700,NA,NA,NA,NA,NA,NA,NA,3247290,2797550,3380490,1678720,2247200,1980650,2151460,2274920
"447","O00522","KRIT1_HUMAN","KRIT1",NA,2561010,2137040,1830020,3892290,6095590,4892490,2015680,2093610,1748880,2129240,1829830,1774490,3425980,4249860,4230910,3547740,3839470,3841890,3906220,4951440,5515220,5546440,4169420,6059590,4522810,4117160,4389140
"448","O00526","UPK2_HUMAN","UPK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","O00534","VMA5A_HUMAN","VWA5A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8824450,NA,8330510,6043470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","O00541","PESC_HUMAN","PES1",NA,45516400,58434100,52805300,42338800,53341100,47042200,49583600,50291600,51395900,54701800,50120000,46267400,46467800,50058400,42564700,39313200,50012800,51957800,48563400,52102800,58718900,54438300,53478900,43543900,52875100,60534600,56855700
"451","O00559","RCAS1_HUMAN","EBAG9",NA,NA,1498310,1899510,1360690,NA,1375140,1584000,2264140,2046480,1676280,1997830,NA,2249130,1692230,1762610,915672,2040320,NA,1008520,1854690,1785820,NA,1754620,1411910,NA,1453770,NA
"452","O00560","SDCB1_HUMAN","SDCBP",NA,14818600,12304000,16953800,33947400,18498300,26966400,18742200,17058000,13856100,13305600,13440200,13552000,40116100,39782900,44978800,38701100,34248700,32950600,38578400,26071400,16826200,21054100,37885400,24239300,22284300,24693300,26005900
"453","O00562","PITM1_HUMAN","PITPNM1",NA,NA,313305,NA,693714,575590,583120,262429,NA,458407,NA,NA,NA,1455330,707582,1047180,1064480,929432,919258,1018870,518370,NA,833923,345233,NA,NA,633545,726722
"454","O00566","MPP10_HUMAN","MPHOSPH10",NA,18102900,16737500,16935000,10958400,12161900,10575900,14520100,14241700,15055300,16162700,14420300,17493600,11971700,10466700,11906800,10482900,15411300,11655200,12022700,10702900,11861500,10098200,11229700,10081000,10621900,11191300,9405340
"455","O00567","NOP56_HUMAN","NOP56",NA,182897000,245863000,186495000,115702000,176617000,129398000,213855000,182299000,185592000,209578000,187255000,188869000,144192000,149748000,131366000,128249000,145732000,163576000,136470000,126218000,161925000,151839000,128871000,126456000,140636000,154240000,141591000
"456","O00570","SOX1_HUMAN","SOX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,485991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867061,NA,NA,NA,NA,NA
"457","O00571","DDX3X_HUMAN","DDX3X",NA,94712500,118038000,117219000,96810900,67968900,102330000,107814000,109166000,94419000,91430700,134587000,103515000,85694900,95665000,83983200,85480100,76512000,83184700,83395800,100935000,76918000,95391000,95978800,91735700,92810400,95450800,83847900
"458","O00574","CXCR6_HUMAN","CXCR6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,865988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","O00584","RNT2_HUMAN","RNASET2",NA,134636000,117738000,108139000,144009000,99198800,140238000,128577000,107127000,123612000,97030200,131849000,134258000,137504000,144330000,142248000,157796000,154626000,124936000,129575000,52808100,53145700,77761600,58453700,94162100,91101600,129100000,117223000
"460","O00587","MFNG_HUMAN","MFNG",NA,1367880,859208,NA,2227600,NA,1460540,1453300,1171500,NA,996303,1158650,NA,1706430,1822170,1575990,NA,2091090,2136150,1969160,NA,1217390,NA,NA,NA,NA,NA,NA
"461","O00592","PODXL_HUMAN","PODXL",NA,3132410,4143120,1755750,2298850,3015460,4512370,3696390,2436980,6967950,3264210,4286740,4431600,2523190,2613690,4078620,4088600,8664990,2117510,2230960,816441,713596,989119,1657010,2653050,4208770,3796760,3489680
"462","O00602","FCN1_HUMAN","FCN1",NA,NA,NA,NA,NA,1154150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189871,1197950,1973100,NA,NA
"463","O00625","PIR_HUMAN","PIR",NA,NA,NA,5355680,10197300,21720700,16151500,1740920,2566130,3197210,3321700,NA,NA,16456600,15946600,15762200,9273340,11633100,8271730,8844620,13602500,16545500,13412300,24788200,18268000,19336400,16429500,15956200
"464","O00628","PEX7_HUMAN","PEX7",NA,433020,605389,757320,783869,NA,1468440,NA,728106,NA,NA,896348,NA,NA,869734,1101590,1009430,NA,NA,NA,NA,NA,NA,NA,1457320,NA,NA,NA
"465","O00629","IMA3_HUMAN","KPNA4",NA,43684400,45659900,46653500,38275600,58323300,56686600,47613300,42428500,45426600,49134200,39851000,42650500,47827800,44721500,37364100,41219600,48303800,42662900,44611100,56061300,60209000,57443200,62661500,68525100,53383300,64257200,68129900
"466","O00635","TRI38_HUMAN","TRIM38",NA,5131780,5328480,4533860,3612300,8350320,6901410,4633690,4907150,3968090,3259700,4346290,4342050,3438880,3280810,3009650,3164400,2904230,3221660,2888530,6675350,5504430,6532040,6332430,7310170,6613290,6323310,6224180
"467","O00712","NFIB_HUMAN","NFIB",NA,NA,NA,NA,NA,204739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","O00716","E2F3_HUMAN","E2F3",NA,3965400,3909880,3003750,1702130,2623410,2508500,3958440,3703720,4291260,4598370,3761230,4055010,1712500,1633460,1700010,1528860,1207350,1393660,1580420,2649700,3339700,3373130,2572480,2006220,2014620,3140610,3037960
"469","O00743","PPP6_HUMAN","PPP6C",NA,62551800,68346300,64184000,82080500,71871800,74999600,74516100,69829900,58533900,56563000,68182500,62979300,65890500,69147300,76801100,87149100,66918500,77155300,76700300,77125200,64491100,67879200,68660200,80570300,83861500,59931000,60988000
"470","O00746","NDKM_HUMAN","NME4",NA,NA,280275,NA,615248,428375,376556,NA,NA,NA,NA,NA,325967,553568,402466,412329,302320,502664,602431,695555,NA,261268,285042,278655,626581,314087,381239,464531
"471","O00748","EST2_HUMAN","CES2",NA,2447140,1680310,1995340,1485830,2149290,2028820,2339590,2013940,2589100,2695560,2378270,2527620,2226550,2159860,2354440,2415670,1779440,1655500,1654360,2030370,1431890,2133170,1609890,2521570,2737220,2099100,2283980
"472","O00750","P3C2B_HUMAN","PIK3C2B",NA,NA,NA,NA,846922,1275090,1283770,NA,NA,615923,NA,NA,NA,904251,998504,731880,785385,1014940,743720,NA,1283020,1676780,1558380,1189900,1188940,1146670,1144750,1148450
"473","O00754","MA2B1_HUMAN","MAN2B1",NA,132722000,99604000,59377800,264943000,62369700,88716200,130534000,64576500,69177400,58931100,95118100,101151000,343417000,305259000,322598000,340290000,287657000,239636000,262602000,66258200,51359000,66304300,61726300,65208300,58773200,80550500,76860700
"474","O00757","F16P2_HUMAN","FBP2",NA,NA,NA,NA,6934890,NA,NA,NA,NA,NA,NA,NA,NA,NA,3754280,3087310,3024510,3772140,8345240,8074860,NA,NA,NA,NA,NA,NA,NA,NA
"475","O00762","UBE2C_HUMAN","UBE2C",NA,37724700,37439300,21457100,52659700,35259200,48024300,33634600,40418000,54325900,35975900,34213200,37567800,43008200,44335800,43040700,32969600,42920800,44075600,57701700,56329500,59668800,49456000,44246500,37392500,35586900,67398900,65507100
"476","O00764","PDXK_HUMAN","PDXK",NA,31971900,28945000,28038000,25264100,41190400,33652800,27886500,28666400,31720300,26984400,27429600,26056700,30676100,30964900,31371000,26696600,21892700,21314400,21745200,38707900,36804700,43558500,35914200,44203800,37681500,32622100,32586900
"477","O00767","SCD_HUMAN","SCD",NA,32497400,36839600,36433200,22724500,20365400,30614300,35144100,45032300,34398900,41155100,34954700,38830500,24737300,26579400,27903900,27140400,33536000,25560300,21417200,24133000,25607000,21648100,45762000,27934000,25610400,19282200,25296900
"478","O14492","SH2B2_HUMAN","SH2B2",NA,967852,664490,NA,1923310,1603220,1261060,NA,NA,NA,NA,NA,NA,2568770,2319180,2190290,2488100,2237250,2647230,NA,2520150,2183760,1928780,2118340,NA,NA,2020140,1011120
"479","O14495","PLPP3_HUMAN","PLPP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85842.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","O14497","ARI1A_HUMAN","ARID1A",NA,39124100,35603300,38149700,43679600,38267500,38432700,38984000,35094400,34771300,39592300,35529700,36119000,48859800,49075600,48827800,52222800,53795300,51825800,49690200,41015100,39583100,40447300,41352400,39609100,31629000,41404400,42708900
"481","O14508","SOCS2_HUMAN","SOCS2",NA,4869110,4259780,3722910,NA,6823540,5673760,4136650,3027960,2366230,2885700,3921480,3974510,NA,NA,NA,NA,NA,NA,NA,6001840,7219020,7796170,5458900,5647830,5332310,3915800,5036550
"482","O14511","NRG2_HUMAN","NRG2",NA,NA,NA,NA,864640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785354,NA,NA,853254,NA
"483","O14519","CDKA1_HUMAN","CDK2AP1",NA,2190060,NA,3223030,NA,1493230,NA,1936660,NA,NA,2187980,NA,NA,1649490,NA,2397830,1439810,NA,NA,NA,3030610,2071340,2641230,3269310,NA,NA,2682040,NA
"484","O14521","DHSD_HUMAN","SDHD",NA,8487750,10450300,9188600,10838300,7145290,10971800,6947330,6758420,4361000,5275040,6358050,7834000,6546210,5349290,6932220,7877670,5211520,9062000,8310280,8330580,8556240,5864310,5787910,7328590,6205240,5799790,5990780
"485","O14523","C2C2L_HUMAN","C2CD2L",NA,2396450,2024410,2041100,3330290,3977620,3269300,2376610,2403380,1874240,2453190,1858650,1891220,4232380,3943660,4406220,3568270,3496410,3040770,2988470,3600770,3152720,4180860,3656360,3275610,3890000,3462100,2824840
"486","O14524","NEMP1_HUMAN","NEMP1",NA,8316290,6723600,8335650,7557990,11193100,8486080,7598790,7724480,8539160,6805540,7195380,7261980,9330660,7778480,7329680,7226180,8620870,8950500,9038610,8059010,8299710,8348990,11216600,10087300,12916400,10883300,9336710
"487","O14526","FCHO1_HUMAN","FCHO1",NA,9424710,8852510,8695880,6215350,3327560,3697220,9952230,10633300,9912440,14156700,9137260,8333460,11217400,9324790,7141750,9071010,11106800,9336710,9567510,3224130,2629200,3889000,3726930,4045420,3153960,3888500,4422620
"488","O14530","TXND9_HUMAN","TXNDC9",NA,38507300,35518200,36205600,36758600,44514200,36037500,34435800,39608500,49969200,45583200,32635500,39491000,40676800,31772600,31628700,28514200,39395600,36198800,39567400,43504000,40010500,40337500,40428000,36680200,43310300,43545200,44376400
"489","O14531","DPYL4_HUMAN","DPYSL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,843243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","O14543","SOCS3_HUMAN","SOCS3",NA,NA,1276350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2570320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","O14545","TRAD1_HUMAN","TRAFD1",NA,8582440,7308060,6711430,11652700,11506800,10070600,8469260,6840870,6632540,6910910,8491200,8798220,13387800,13091800,15308400,12628800,11851200,12383200,11916800,12995700,14160500,13168500,16179100,13458000,11692200,11580600,11414500
"492","O14548","COX7R_HUMAN","COX7A2L",NA,21321700,24468300,15638400,28728400,16753700,14549000,21270800,20370800,27545800,19188200,24903400,24840200,20775200,23054400,20166300,18498600,21623500,29009200,30591700,14548300,14216400,15301300,15754800,17940700,17328500,14273200,13433900
"493","O14561","ACPM_HUMAN","NDUFAB1",NA,166807000,163989000,144596000,195356000,143289000,137701000,138653000,145674000,167199000,122574000,206804000,174088000,127427000,147054000,162992000,145767000,129180000,157144000,190491000,170925000,129679000,147346000,148293000,149261000,166448000,143270000,139748000
"494","O14562","UBFD1_HUMAN","UBFD1",NA,24268600,22114500,22520200,26958800,41392300,25323300,22318700,22363300,33852600,27067700,21608700,22478700,32001100,31028900,27657200,30922400,32104800,26811300,23468900,24727100,26042600,30587000,42230200,32464400,42239000,27219300,23024000
"495","O14578","CTRO_HUMAN","CIT",NA,3371760,4690940,4625210,4171340,2736930,4723450,3594690,5732090,4263640,4724840,4582280,4204960,4537250,5146300,4664370,4320900,4489210,4056200,4886960,4214520,4766340,4184090,4120580,3294460,2947040,4949090,4939790
"496","O14579","COPE_HUMAN","COPE",NA,118691000,91722300,97671300,134475000,145455000,130672000,117566000,100450000,122065000,98336100,105883000,92545400,159057000,146476000,134905000,141532000,135579000,144986000,137546000,144016000,133364000,129666000,161606000,145015000,141462000,142510000,128440000
"497","O14581","OR7AH_HUMAN","OR7A17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1313460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","O14593","RFXK_HUMAN","RFXANK",NA,5359610,3527230,4373290,3727730,7862540,6708750,6217640,4155080,6682960,6635260,3416200,4014950,6651800,4940590,4728570,6662340,7262370,4458570,4870790,6656760,9099950,10019200,7383700,5903990,6287270,9235560,8858220
"499","O14602","IF1AY_HUMAN","EIF1AY",NA,124203000,109259000,123448000,107132000,119596000,111535000,166041000,165757000,164320000,139363000,166228000,165021000,134855000,121620000,129800000,120854000,132083000,119699000,132052000,156458000,146833000,144849000,159789000,150660000,160814000,141681000,139871000
"500","O14617","AP3D1_HUMAN","AP3D1",NA,28638700,25153600,26955700,39836800,18756700,18352000,28229100,26158600,17526900,21331300,25264200,22285400,32344300,33861700,35330100,38135000,28589000,35726100,33556800,19750700,16417300,17970700,20616900,19534000,17950200,16142300,16019800
"501","O14618","CCS_HUMAN","CCS",NA,15692400,11125800,12070700,34742800,23186100,23419200,16483700,11680700,16328000,13418900,13132600,14736700,50459100,36754600,44864600,49277300,38806200,32884000,31133500,21978000,24045500,20596900,21297800,23592600,17641500,26804600,22118700
"502","O14628","ZN195_HUMAN","ZNF195",NA,4968650,4945150,3855520,3752030,2817560,2891750,4169730,3430820,3320040,3937490,4128260,4258990,4055350,3933510,2923370,3397430,3917770,4587490,4087110,2544780,3185340,2407950,2595830,2479590,2091380,2652790,3132890
"503","O14633;Q5TA79;Q5TA81;Q5TA82","LCE2A_HUMAN;LCE2B_HUMAN;LCE2C_HUMAN;LCE2D_HUMAN","LCE2A;LCE2B;LCE2C;LCE2D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1523180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","O14640","DVL1_HUMAN","DVL1",NA,1067540,1195070,1034890,1153190,248824,NA,1053880,1039910,859328,574318,1019670,1086910,1544640,1334890,1220360,1073600,1110500,1292280,1035880,256626,317162,210602,130008,201989,357032,216884,233035
"505","O14641","DVL2_HUMAN","DVL2",NA,9199580,10843800,11371800,8765670,10886800,9832970,10568400,11379800,10412000,10917800,9903710,9899000,9849300,10370500,10807600,10397300,11052100,8703450,8066760,10784700,10163300,11074800,10346300,10953500,9882180,11041000,10374700
"506","O14646","CHD1_HUMAN","CHD1",NA,8047600,12304700,10432300,6817150,10458600,9050570,7676960,9941500,11366000,11697700,10921800,11009000,8118290,8361410,7852790,7547840,9452130,9144350,8459420,9517910,10959000,9846780,11208900,9744190,9417670,10908900,9991910
