"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"10450","Q9UPY8","MARE3_HUMAN","MAPRE3",NA,NA,NA,NA,2143110,15869600,5093060,NA,NA,NA,NA,NA,NA,2995960,1633580,2419430,3829670,3396030,2234290,2107100,8470270,7991470,8479730,8103670,13359000,11229100,4398060,4785990
"10451","Q9UPZ3","HPS5_HUMAN","HPS5",NA,3171840,3165980,3156920,2507180,4591580,4910360,3368970,3627160,4620460,4238840,3287310,3494360,3114750,2881310,2694020,2515030,2759640,2701720,2598620,4578370,5303230,4984390,4769410,4801800,4807040,5262990,5010110
"10452","Q9UQ10","DHDH_HUMAN","DHDH",NA,NA,NA,NA,NA,NA,NA,905704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10453","Q9UQ13","SHOC2_HUMAN","SHOC2",NA,4298470,3736740,4669060,6561440,4008200,5577890,4241680,3511020,4052970,3787340,3958760,3985020,6451100,6722300,6691980,7127830,6595990,6769360,6209080,6086400,3805020,4568700,3908890,4144650,4183370,5055930,4594640
"10454","Q9UQ16","DYN3_HUMAN","DNM3",NA,41075000,29175600,37286700,48231600,58652500,42059600,33040900,44712700,23735000,34700000,36281600,36158300,37438000,43096600,37910400,42990700,30802900,39835200,35756200,52859300,32641800,41913600,44060200,53424800,79281700,29634200,35283700
"10455","Q9UQ35","SRRM2_HUMAN","SRRM2",NA,112655000,106525000,93706700,106919000,98140000,92901900,108332000,80677300,100590000,118298000,118817000,120087000,117664000,112147000,127955000,121564000,121422000,126506000,118860000,102855000,91313500,89115300,104254000,95334900,94572800,105028000,106983000
"10456","Q9UQ49","NEUR3_HUMAN","NEU3",NA,NA,1389340,1280940,NA,NA,787636,1017270,1291560,950179,904524,1493080,1403350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800415,1235630,1262060,NA,NA
"10457","Q9UQ53","MGT4B_HUMAN","MGAT4B",NA,NA,NA,NA,NA,NA,NA,7432990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10458","Q9UQ72","PSG11_HUMAN","PSG11",NA,NA,NA,NA,NA,NA,874887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10459","Q9UQ74","PSG8_HUMAN","PSG8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69883.4,NA,NA,NA,NA,NA,NA,NA,NA
"10460","Q9UQ80","PA2G4_HUMAN","PA2G4",NA,592083000,660462000,670722000,576171000,412710000,557082000,603825000,689360000,568680000,578680000,649773000,657138000,503772000,519521000,558003000,524360000,519016000,547143000,560247000,513454000,412962000,428777000,502409000,568489000,548691000,430368000,426646000
