"","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"Q9Y450",1.07893,1.0801,1.08576,1.04407,1.07052,1.07255,1.07671,1.07734,1.0806,1.08502,1.08132,1.07962,1.04131,1.04103,1.04358,1.03659,1.04081,1.04189,1.04443,1.06089,1.04765,1.05364,1.07585,1.07857,1.0677,1.06102
"Q9Y478",0.97786,0.97918,0.96807,0.96136,0.97167,0.98092,0.97445,0.96185,0.97556,0.9681,0.96613,0.97548,0.97948,0.9735,0.95958,0.94873,0.97045,0.97229,0.97462,0.96723,0.96575,0.97036,0.98028,0.97232,0.97012,0.96313
"Q9Y483",0.9637,0.95446,0.96211,0.93065,0.96313,0.95596,0.96616,0.95264,0.96189,0.97298,0.95544,0.95605,0.95574,0.94249,0.93895,0.94591,0.95937,0.95832,0.95839,0.95361,0.96286,0.96673,0.97236,0.95779,0.96132,0.96355
"Q9Y484",0.89028,0.88564,0.88454,0.92882,0.90921,0.91325,0.88627,0.87473,0.86708,0.8817,0.85413,0.86475,0.92232,0.91628,0.92221,0.93102,0.92117,0.92742,0.9355,0.90886,0.91774,0.92551,0.8928,0.89286,0.92117,0.92185
"Q9Y485",0.89062,0.91559,0.91023,0.860084764623357,0.90389,0.8873,0.87927,0.9007,0.92441,0.90603,0.9129,0.91699,0.85382,0.866623395333224,0.86611,0.852947543011867,0.871443336698846,0.87853,0.83954,0.89351,0.88957,0.8578,0.88961,0.86693,0.88476,0.88695
"Q9Y487",0.97577,0.97426,0.97732,1.01387,0.96084,0.97826,0.97777,0.97612,0.96846,0.96049,0.96989,0.97322,1.00576,1.00839,1.01448,1.00782,1.00311,1.0125,1.01234,0.979,0.96812,0.95653,0.99037,0.9987,0.96897,0.96288
"Q9Y490",1.19841,1.17853,1.18635,1.1911,1.19882,1.201,1.19608,1.1879,1.19724,1.18498,1.17761,1.17763,1.19547,1.19443,1.19177,1.18081,1.18277,1.18766,1.19012,1.19082,1.19118,1.19331,1.19551,1.191,1.20188,1.19764
"Q9Y496",0.83422,0.842943469719639,0.845827471152129,0.88452,0.90525,0.87857,0.857248233376307,0.82037,0.853426390484473,0.86506,0.8334,0.83796,0.88956,0.8838,0.88453,0.88569,0.88922,0.89188,0.88428,0.91351,0.91165,0.90113,0.91439,0.9133,0.90725,0.88899
"Q9Y4A5",1.05597,1.05666,1.05025,1.04111,1.06114,1.06321,1.06182,1.0403,1.05832,1.05633,1.05497,1.05428,1.04959,1.04994,1.0489,1.04877,1.05613,1.06135,1.0595,1.07095,1.06554,1.06852,1.06989,1.06376,1.06844,1.06922
"Q9Y4B4",0.90277,0.90987,0.91073,0.90674,0.9295,0.921,0.90372,0.90773,0.92198,0.91307,0.91012,0.91106,0.91068,0.92843,0.90702,0.92099,0.90517,0.91606,0.91868,0.92112,0.92179,0.92253,0.92035,0.92058,0.92505,0.92451
"Q9Y4B6",1.01318,1.02283,1.01458,0.99655,1.02322,1.0121,1.01765,1.01828,1.02016,1.0196,1.0227,1.02154,1.00362,0.99882,0.99951,0.99922,1.00785,1.00703,1.0079,1.02935,1.02331,1.02713,1.02388,1.02492,1.02297,1.02231
"Q9Y4C1",0.93933,0.94515,0.94438,0.91965,0.95326,0.95537,0.9505,0.94846,0.95141,0.94585,0.94424,0.94698,0.93122,0.93449,0.92683,0.91909,0.93796,0.93424,0.92536,0.93906,0.94219,0.9474,0.95828,0.95669,0.95085,0.94714
"Q9Y4C8",0.99266,1.00514,1.00109,0.98738,0.99849,0.97581,0.99364,0.99276,1.01268,1.0145,0.99357,0.99573,0.99882,0.99108,0.98917,0.97259,1.00183,0.99659,0.99365,0.98042,0.99279,0.98948,0.98184,0.98583,0.99254,0.9917
"Q9Y4D8",0.87355,0.87976,0.85628,0.87701,0.84747,0.84211,0.86867,0.8721,0.8715,0.87044,0.8643,0.87385,0.87393,0.87523,0.87393,0.87911,0.87021,0.86805,0.87289,0.82432,0.848998901054082,0.83521,0.85123,0.85698,0.8231,0.82952
"Q9Y4E1",0.93233,0.93095,0.9281,0.952,0.94423,0.94036,0.92044,0.93442,0.9079,0.92063,0.92002,0.92556,0.94495,0.93943,0.9552,0.94718,0.94208,0.93619,0.9303,0.93164,0.92663,0.92674,0.94541,0.9374,0.92896,0.91861
"Q9Y4E5",0.93791,0.942,0.95298,0.90862,0.92107,0.92871,0.93443,0.93738,0.9277,0.93951,0.94229,0.94442,0.91758,0.92352,0.92006,0.91541,0.91881,0.92115,0.92686,0.92303,0.91439,0.92319,0.9265,0.924,0.92185,0.91386
"Q9Y4E6",0.89958,0.92574,0.92206,0.93742,0.92816,0.94367,0.91429,0.92559,0.93084,0.92143,0.92153,0.921,0.93436,0.94712,0.93612,0.94165,0.92784,0.9412,0.93182,0.92544,0.9157,0.92824,0.94202,0.93373,0.93414,0.93827
